mw,tw,semrel_synonym,semrel_antonym,semrel_hyponym,semrel_hypernym,collocation,cultural_ref,other
key,door,,,,,1,,
key,open,,,,,1,,
key,car,,,,,1,,
key,lock,,,,,1,,
key,house,,,,,1,,
acne,zits,1,,,,,,
acne,teenager,,,,,1,,
acne,pimple,1,,,,,,
acne,face,,,,,1,,
acne,clearasil,,,,,,1,
landscape,lawn,,,,,1,,
landscape,plant,,,,,1,,
landscape,painting,,,,,1,,
landscape,scene,1,,,,,,
landscape,gardener,,,,,1,,
subway,underground,1,,,,,,
subway,train,1,,,,,,
subway,tracks,,,,,1,,
subway,city,,,,,1,,
subway,token,,,,,1,,
crime,arrest,,,,,1,,
crime,law,,,,,1,,
crime,illegal,,,,,1,,
crime,commit,,,,,1,,
crime,prison,,,,,1,,
adhesive,glue,1,,,,,,
adhesive,sticky,,,,,1,,
adhesive,paste,,,,,1,,
adhesive,tape,1,,,,,,
adhesive,together,,,,,1,,
cheddar,wisconsin,,,,,,1,
cheddar,cheese,,,,1,,,
cheddar,sharp,,,,,1,,
cheddar,dairy,,,,,1,,
cheddar,cracker,,,,,1,,
engine,motor,,,1,,,,
engine,car,,,1,,,,
engine,fire,,,,,1,,
engine,train,,,1,,,,
engine,hood,,,,,1,,
intelligent,dumb,,1,,,,,
intelligent,smart,1,,,,,,
intelligent,brainy,1,,,,,,
intelligent,brilliant,1,,,,,,
intelligent,stupid,,1,,,,,
zebra,black,,,,,1,,
zebra,white,,,,,1,,
zebra,stripes,,,,,1,,
zebra,horse,,,,1,,,
zebra,africa,,,,,1,,
hunk,attractive,1,,,,,,
hunk,gorgeous,1,,,,,,
hunk,handsome,1,,,,,,
hunk,guy,,,,1,,,
hunk,look,,,,,1,,
pose,photograph,,,,,1,,
pose,model,,,,,1,,
pose,picture,,,,,1,,
pose,stand,1,,,,,,
pose,still,,,,,1,,
croissant,crescent,,,,,1,,
croissant,roll,,,,,1,,
croissant,pastry,,,,1,,,
croissant,french,,,,,1,,
croissant,dough,,,,,1,,
rainbow,over,,,,,1,,
rainbow,colors,,,,,1,,
rainbow,gold,,,,,1,,
rainbow,sky,,,,,1,,
rainbow,sun,,,,,1,,
muffler,under,,,,,1,,
muffler,noise,,1,,,,,
muffler,car,,,,,1,,
muffler,exhaust,1,,,,,,
muffler,tailpipe,1,,,,,,
lawn mower,yard,,,,,1,,
lawn mower,cut,,,,,1,,
lawn mower,ride,,,,,1,,
lawn mower,grass,,,,,1,,
lawn mower,green,,,,,1,,
investment,future,,,,,1,,
investment,finances,,,,,1,,
investment,money,,,,1,,,
investment,save,,,,1,,,
investment,return,,,,,1,,
trash,can,,,,,1,,
trash,collector,,,,,1,,
trash,garbage,1,,,,,,
trash,rubbish,1,,,,,,
trash,compactor,,,,,1,,
affluent,rich,1,,,,,,
affluent,luxury,1,,,,,,
affluent,well-to-do,1,,,,,,
affluent,wealthy,1,,,,,,
affluent,money,,,,,1,,
dead end,street,,,,1,,,
dead end,exit,,1,,,,,
dead end,road,,,,1,,,
dead end,no,,,,,,,
dead end,cul-de-sac,1,,,,,,
feather,wing,,,,,1,,
feather,pillow,,,,,1,,
feather,fly,,,,,1,,
feather,bird,,,,,1,,
feather,light,,,,,1,,
loch ness monster,scotland,,,,,,1,
loch ness monster,creature,,,,1,,,
loch ness monster,lake,,,,,1,,
loch ness monster,water,,,,,1,,
loch ness monster,neck,,,,,1,,
irritate,bug,1,,,,,,
irritate,nerves,,,,,1,,
irritate,aggravate,,,,,1,,
irritate,annoy,1,,,,,,
irritate,bother,1,,,,,,
kettle,tea,,,,,1,,
kettle,pot,1,,,,,,
kettle,water,,,,,1,,
kettle,boil,,,,,1,,
kettle,whistle,,,,,1,,
knuckle,brass,,,,,1,,
knuckle,hand,,,,,1,,
knuckle,joint,1,,,,,,
knuckle,finger,,,,,1,,
knuckle,crack,,,,,1,,
port,ship,,,,,1,,
port,dock,1,,,,,,
port,wine,,,,,1,,
port,harbor,1,,,,,,
port,starboard,,,,,1,,
award,honor,,,,,1,,
award,trophy,1,,,,,,
award,win,,,,,1,,
award,oscar,,,1,,,,
award,academy,,,,,1,,
porpoise,flipper,,,,,1,,
porpoise,dolphin,1,,,,,,
porpoise,mammal,,,,1,,,
porpoise,fish,,,,1,,,
porpoise,smart,,,,,1,,
bookie,gambler,,,,,1,,
bookie,bets,,,,,1,,
bookie,sports,,,,,1,,
bookie,illegal,,,,,1,,
bookie,money,,,,,1,,
tooth,cavity,,,,,1,,
tooth,dentist,,,,,1,,
tooth,mouth,,,,,1,,
tooth,chew,,,,,1,,
tooth,white,,,,,1,,
recipe,make,,,,,1,,
recipe,cook,,,,,1,,
recipe,instructions,1,,,,,,
recipe,food,,,,,1,,
recipe,ingredients,,,,,1,,
radon,basement,,,,,1,,
radon,gas,,,,1,,,
radon,test,,,,,1,,
radon,home,,,,,1,,
radon,toxic,,,,,1,,
loiter,nothing,,,,,1,,
loiter,standing,1,,,,,,
loiter,street corner,,,,,1,,
loiter,hang,1,,,,,,
loiter,police,,,,,1,,
ambulance,siren,,,,,1,,
ambulance,paramedics,1,,,,,,
ambulance,emergency,,,,,1,,
ambulance,hospital,1,,,,,,
ambulance,vehicle,,,,,1,,
vaccinate,arm,,,,,1,,
vaccinate,shot,1,,,,,,
vaccinate,immune,,,,,1,,
vaccinate,injection,,,,1,,,
vaccinate,child,,,,,1,,
treasure,buried,,,,,1,,
treasure,island,,,,,1,,
treasure,gold,1,,,,,,
treasure,chest,,,,,1,,
treasure,pirates,,,,,1,,
bandit,thief,1,,,,,,
bandit,robber,1,,,,,,
bandit,masked,,,,,1,,
bandit,steal,,,,,1,,
bandit,burglar,1,,,,,,
envelope,mail,,,,,1,,
envelope,stamp,,,,,1,,
envelope,address,,,,,1,,
envelope,letter,,,,,1,,
envelope,seal,,,,,1,,
dealer,casino,,,,,1,,
dealer,wheeler,,,,,1,,
dealer,sell,,,,,1,,
dealer,buy,,,,,1,,
dealer,car,,,,,1,,
beanstalk,jack,,,,,,1,
beanstalk,giant,,,,,,1,
beanstalk,climb,,,,,1,,
beanstalk,sky,,,,,1,,
beanstalk,vine,,,,,1,,
busybody,meddler,1,,,,,,
busybody,pry,1,,,,,,
busybody,nosy,1,,,,,,
busybody,gossip,,,,,1,,
busybody,business,,,,,1,,
linoleum,tile,,,,,1,,
linoleum,flooring,,,,1,,,
linoleum,kitchen,,,,,1,,
linoleum,walk,,,,,1,,
linoleum,covering,,,,,1,,
tarantula,spider,,,,1,,,
tarantula,black,,,,,1,,
tarantula,legs,,,,,1,,
tarantula,hairy,,,,,1,,
tarantula,web,,,,,1,,
baby,infant,1,,,,,,
baby,newborn,1,,,,,,
baby,toddler,1,,,,,,
baby,child,1,,,,,,
baby,pregnant,,,,,1,,
boardwalk,atlantic city,,,,,,1,
boardwalk,beach,,,,,1,,
boardwalk,pier,1,,,,,,
boardwalk,monopoly,,,,,,1,
boardwalk,wood,,,,,1,,
counterfeit,fake,1,,,,,,
counterfeit,phony,1,,,,,,
counterfeit,money,,,,,1,,
counterfeit,currency,,,,,1,,
counterfeit,dollars,,,,,1,,
perspire,sweat,1,,,,,,
perspire,hot,,,,,1,,
perspire,deodorant,,,,,1,,
perspire,wetness,,,,1,,,
perspire,armpit,,,,,1,,
casket,corpse,,,,,1,,
casket,bury,,,,,1,,
casket,coffin,1,,,,,,
casket,funeral,,,,,1,,
casket,dead,,,,,1,,
electric train,lionel,,,,,,1,
electric train,tracks,,,,,1,,
electric train,caboose,,,,,1,,
electric train,engine,,,,1,,,
electric train,toy,,,,1,,,
kitten,meow,,,,,1,,
kitten,cat,1,,,,,,
kitten,purr,,,,,1,,
kitten,animal,,,,1,,,
kitten,baby,1,,,,,,
clubhouse,building,,,,1,,,
clubhouse,members,,,,,1,,
clubhouse,meet,,,,,1,,
clubhouse,golf,,,,,1,,
clubhouse,belong,,,,,1,,
peel,banana,,,,,1,,
peel,rind,1,,,,,,
peel,skin,1,,,,,,
peel,covering,,,,,1,,
peel,orange,,,,,1,,
quilt,patchwork,,,,,1,,
quilt,cover,1,,,,,,
quilt,blanket,1,,,,,,
quilt,bed,,,,,1,,
quilt,sew,,,,,1,,
debut,premiere,1,,,,,,
debut,introduction,1,,,,,,
debut,first,,,,,1,,
debut,society,,,,,1,,
debut,coming-out,1,,,,,,
package,box,1,,,,,,
package,ups,,,,,1,,
package,mail,,,,,1,,
package,post office,,,,,1,,
package,gift,,,,,1,,
bait,worms,,,1,,,,
bait,fishing,,,,,1,,
bait,hook,,,,,1,,
bait,lure,1,,,,,,
bait,catch,,,,,1,,
pen,write,,,,,1,,
pen,ball-point,,,1,,,,
pen,felt-tip,,,1,,,,
pen,pal,,,,,,1,
pen,ink,,,,,1,,
kidnap,ransom,,,,,1,,
kidnap,abduct,1,,,,,,
kidnap,steal,1,,,,,,
kidnap,child,,,,,1,,
kidnap,hostage,,,,,1,,
andy warhol,painter,,,,1,,,
andy warhol,white,,,,,1,,
andy warhol,pop,,,,,,1,
andy warhol,artist,,,,1,,,
andy warhol,campbell�s soup,,,,,,1,
